EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
CY,i01.i,2012,20.7465355406982,0.00521682553743158,0.00521682553743158
CY,i01.i,2013,14.8827021548022,0.00376647547771797,0.00376647547771797
CY,i01.i,2014,8.07263321331914,0.00203643338729161,0.00203643338729161
CY,i01.i,2015,8.13909801336578,0.00205243599196667,0.00205243599196667
CY,i01.i,2016,1.13150019221541,0.000285094370590551,0.000285094370590551
CY,i01.i,2017,3.21258584266411,0.000820185729822112,0.000820185729822112
CY,i01.i,2018,3.25636968847321,0.000831123816029946,0.000831123816029946
CY,i02,2005,7.39423513819181,8.18955187336012e-05,8.18955187336012e-05
CY,i02,2006,13.0481632856069,0.000137121162386503,0.000137121162386503
CY,i02,2007,44.9042579547878,0.000963350295485425,0.000963350295485425
CY,i02,2008,58.4791229524297,0.00110393123828193,0.00110393123828193
CY,i02,2009,59.6703136274337,0.00114052843931531,0.00114052843931531
CY,i02,2010,69.9136062218368,0.0012551678168702,0.0012551678168702
CY,i02,2011,79.5954018938998,0.00143717248740137,0.00143717248740137
CY,i02,2012,59.8266772707006,0.000683495764916497,0.000683495764916497
CY,i02,2013,46.2064442673933,0.000541936604008875,0.000541936604008875
CY,i02,2014,47.8988344051196,0.00046111932359723,0.00046111932359723
CY,i02,2015,35.0439861982514,0.000310767071327033,0.000310767071327033
CY,i02,2016,42.0815124601646,0.000427089566195528,0.000427089566195528
CY,i02,2017,31.2779050269778,0.000385077891619451,0.000385077891619451
CY,i02,2018,31.1952905816851,0.000385741961223509,0.000385741961223509
ID,i01.a,2005,40969.5730354407,51.9824176642549,28.1102834424408
ID,i01.a,2006,54115.4852897339,61.3795802294225,36.6863830110288
ID,i01.a,2007,55567.1627691,63.5286023971086,37.2022806226643
ID,i01.a,2008,56960.9562817503,65.406522773894,38.3270815581195
ID,i01.a,2009,56835.9154029064,65.9579314392209,38.2549268891447
ID,i01.a,2010,51966.2640438749,64.1006637163012,34.9358364014537
ID,i01.a,2011,40988.6473585418,56.4087625236373,27.48287759517
ID,i01.a,2012,34500.5175043401,54.2221843147923,23.6150185043648
ID,i01.a,2013,31478.3286535496,52.4542871329342,21.2642856396052
ID,i01.a,2014,48119.5068274592,62.2502241263478,31.2439997542189
ID,i01.a,2015,70467.5369149987,73.9187878596484,44.2607926140254
ID,i01.a,2016,104041.213484011,97.1263732608063,64.9776799278164
ID,i01.a,2017,111857.555217928,102.217605609058,69.768628518283
ID,i01.a,2018,122295.691612689,110.488108928448,76.3214508404383
ID,i01.c,2005,11429.1164882568,12.6813255324033,8.45636984002794
ID,i01.c,2006,16316.8868859526,16.2785113540633,12.0002918246123
ID,i01.c,2007,20250.2153134239,18.9331707293683,14.6074771336863
ID,i01.c,2008,20754.6413248493,19.4570130885242,14.8428827749845
ID,i01.c,2009,19777.4771648166,18.9437518828963,14.1149571966306
ID,i01.c,2010,16967.9063961369,16.5305259242929,11.9558101994647
ID,i01.c,2011,12047.2492699298,12.656061114849,8.38502880709724
ID,i01.c,2012,7749.98226544957,9.71500882841559,5.57944850399117
ID,i01.c,2013,5825.40149211902,8.15140367261346,4.20482169876423
ID,i01.c,2014,14714.5134621065,14.0794861270232,10.0211167686156
ID,i01.c,2015,33844.3002893942,26.2063414897067,22.3580465090649
ID,i01.c,2016,64623.6193776244,47.4493749954708,42.8904689609034
ID,i01.c,2017,80876.142771574,59.3403639530516,53.352823494318
ID,i01.c,2018,90058.9444624325,66.4000449552734,59.6662731029618
ID,i01.d,2005,39764.5008033267,83.9618640151368,18.0749079491215
ID,i01.d,2006,39869.4526257514,85.3864303628374,18.858405997241
ID,i01.d,2007,38185.9729685037,85.2535569929416,17.5246898859489
ID,i01.d,2008,37542.8068906374,86.1794225204516,16.7013901750473
ID,i01.d,2009,39541.1523680168,88.4818775702436,17.9115467125052
ID,i01.d,2010,39645.255253609,87.6088587338013,18.9240446506372
ID,i01.d,2011,37372.9735273614,90.8620606674825,18.4179543861664
ID,i01.d,2012,36001.9694684171,91.4376763763726,18.4819743582032
ID,i01.d,2013,43861.6507103849,100.3570067205,25.348980306526
ID,i01.d,2014,50216.9511731365,106.190259562231,28.7805238075254
ID,i01.d,2015,70081.160326893,129.445719270582,42.6224980690583
ID,i01.d,2016,77806.0962101998,146.484503337998,48.120133454672
ID,i01.d,2017,84160.8216703327,164.775753050077,52.6504021559341
ID,i01.d,2018,78569.6309519654,158.894615775458,46.4603204078933
ID,i01.e,2005,179804.45790441,141.906576346365,86.1560605392864
ID,i01.e,2006,238181.102141011,173.968761257455,113.396821331071
ID,i01.e,2007,302354.807950554,205.770854857887,142.006655035701
ID,i01.e,2008,362896.139884371,243.781999395691,172.619590238748
ID,i01.e,2009,383655.822278187,261.432660016547,182.481639055996
ID,i01.e,2010,365978.500201371,260.402090348446,174.097247426557
ID,i01.e,2011,349474.356619002,260.619404105562,167.096288096934
ID,i01.e,2012,335348.719587109,260.629088305542,162.282331528188
ID,i01.e,2013,314073.423139831,253.383978597965,152.547063130114
ID,i01.e,2014,311149.566869866,258.086964763718,149.873805954026
ID,i01.e,2015,397046.70279095,296.807202408378,182.919585656937
ID,i01.e,2016,528279.048590215,340.486210040395,229.554978562887
ID,i01.e,2017,587291.225584181,390.31860565285,251.022346248951
ID,i01.e,2018,625814.847621238,415.983337581801,265.452200537984
ID,i01.f,2005,1653.30967166048,1.49064420824423,1.17544881141667
ID,i01.f,2006,1533.65192105157,1.38323563995377,1.04824119505696
ID,i01.f,2007,1656.07675581525,1.40816852702278,1.07268514988742
ID,i01.f,2008,1692.34802839541,1.43275296558206,1.09470359106235
ID,i01.f,2009,1526.38239755596,1.3294704107396,0.957755993337348
ID,i01.f,2010,1336.34093626837,1.17527787439566,0.830917274550629
ID,i01.f,2011,1107.43792472919,1.05127650079665,0.671132189553481
ID,i01.f,2012,848.718340600406,0.934288922695212,0.523601994329578
ID,i01.f,2013,665.874627784201,0.784345301372213,0.393711308669591
ID,i01.f,2014,560.279381352274,0.729872935623673,0.341912400324987
ID,i01.f,2015,555.345671082817,0.621429167163866,0.325077516038057
ID,i01.f,2016,607.06208618839,0.658816281647543,0.348454264828013
ID,i01.f,2017,608.73515600717,0.632480091228447,0.345314401262854
ID,i01.f,2018,1190.42947192129,0.938717592315344,0.63096581563329
ID,i01.g,2005,16.8852480456072,0.0115953228354457,0.0115953228354457
ID,i01.g,2006,38.9306522941237,0.0257243410888972,0.0257243410888972
ID,i01.g,2007,74.1300694792414,0.0475617604372127,0.0475617604372127
ID,i01.g,2008,74.2211083461362,0.047655517844739,0.0476076968942095
ID,i01.g,2009,85.980199499498,0.0543536492768191,0.0543027072835162
ID,i01.g,2010,73.5655031292608,0.0455064541956168,0.0454960575663702
